Year,City,Month,Employment,Unemployment,Unemployment Rate,Labor Force,Rent,House Price,Income
1990.0,Abilene,6.5,64531.416666666664,4052.75,5.916666666666667,68584.16666666667,,,
1990.0,Amarillo,6.5,97870.5,4993.083333333333,4.858333333333333,102863.58333333333,,,
1990.0,Austin,6.5,454647.3333333333,23282.0,4.874999999999999,477929.3333333333,,,
1990.0,Beaumont,6.5,161945.91666666666,13080.5,7.466666666666668,175026.41666666666,,,
1990.0,Brownsville,6.5,90879.33333333333,13308.75,12.758333333333333,104188.08333333333,,,
1990.0,College Station,6.5,70000.41666666667,3994.25,5.408333333333332,73994.66666666667,,,
1990.0,Corpus Christi,6.5,157277.41666666666,11247.25,6.675,168524.66666666666,,,
1990.0,Dallas,6.5,2183702.5,118265.5,5.141666666666667,2301968.0,,,
1990.0,El Paso,6.5,230638.83333333334,30418.416666666668,11.649999999999999,261057.25,,,
1990.0,Houston,6.5,1928264.25,103491.91666666667,5.1,2031756.1666666667,,,
1990.0,Killeen,6.5,93569.41666666667,7425.25,7.358333333333333,100994.66666666667,,,
1990.0,Laredo,6.5,48780.166666666664,6646.083333333333,12.0,55426.25,,,
1990.0,Longview,6.5,80635.16666666667,6551.833333333333,7.508333333333334,87187.0,,,
1990.0,Lubbock,6.5,113872.16666666667,6042.25,5.033333333333334,119914.41666666667,,,
1990.0,McAllen,6.5,128594.58333333333,36540.833333333336,22.125,165135.41666666666,,,
1990.0,Midland,6.5,53618.916666666664,2947.5,5.2250000000000005,56566.416666666664,,,
1990.0,Odessa,6.5,52788.5,3130.9166666666665,5.616666666666667,55919.416666666664,,,
1990.0,San Angelo,6.5,44356.0,2767.3333333333335,5.866666666666666,47123.333333333336,,,
1990.0,San Antonio,6.5,623293.3333333334,46093.416666666664,6.891666666666666,669386.75,,,
1990.0,Sherman,6.5,43788.333333333336,2628.5833333333335,5.666666666666667,46416.916666666664,,,
1990.0,Texarkana,6.5,58470.166666666664,3907.0833333333335,6.258333333333333,62377.25,,,
1990.0,Tyler,6.5,70988.58333333333,4753.0,6.283333333333332,75741.58333333333,,,
1990.0,Victoria,6.5,37162.083333333336,1765.8333333333333,4.533333333333333,38927.916666666664,,,
1990.0,Waco,6.5,93135.83333333333,6635.0,6.6499999999999995,99770.83333333333,,,
1990.0,Wichita Falls,6.5,61418.0,4135.333333333333,6.308333333333333,65553.33333333333,,,
1991.0,Abilene,6.5,65709.33333333333,3668.0833333333335,5.283333333333334,69377.41666666667,,,
1991.0,Amarillo,6.5,98615.91666666667,4894.083333333333,4.733333333333334,103510.0,,,
1991.0,Austin,6.5,468506.5833333333,21908.25,4.466666666666667,490414.8333333333,,,
1991.0,Beaumont,6.5,170689.41666666666,13757.666666666666,7.458333333333335,184447.08333333334,,,
1991.0,Brownsville,6.5,92942.33333333333,16382.166666666666,14.983333333333334,109324.5,,,
1991.0,College Station,6.5,72270.66666666667,2913.8333333333335,3.8749999999999996,75184.5,,,
