"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,182900,188000,189900,196000,199900,199900,199900,199800,199900,199900,199000,198000,195000,199900,204500,210000,215000,218900,218900,217800,215900,215000,212000,207900,210000,215000,219900,224950,229900,229900,229900,229900,229900,229900,229900,228392,228000,229000,234900,239900,242000,245000,244900,240000,242000,241990,239900,239000,239000,240000,249900,254900,259900,259990,259900,259000,259900,259900
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349900,350000,359000,365000,369000,375000,369900,369000,364500,365000,365000,369900,369000,369500,372000,379900,389000,395999,399000,399000,399000,398900,399000,395000,395000,399000,399000,399000,399900,399900,409000,419000,409000,409000,410000,405000,399990,419000,419900,419000,429000,429000,429900,429000,425000,429000,429000,429000,425000,429000,432500,439999,449000,458894,459900,459000,449869,450000,459000
"Los Angeles, CA",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000,5e+05,499000,499900,510000,529000,539900,549000,549900,549000,549000,540000,534900,5e+05,525000,545000,559000,575000,599000,599900,599000,599000,599000,599000,599000,599000,599000,6e+05,619999.5,628000,634950,639999,639900,638000,636000,639900,639900,630000,635000,640000,650000,672245,679000,670000,675000,675000,675000,670000
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,192000,189000,199775,210000,219900,227000,229900,229000,225000,224900,219900,215000,205992.5,2e+05,214900,225000,229896,236990,239000,237900,235000,230000,229900,227000,221900,220000,229900,239900,249363,249900,254900,249900,249000,249000,247000,242500,239000,239899.5,249900,259500,265000,269000,269900,269000,262000,260000,259900
"Dallas, TX",4,164900,164900,165000,166000,165000,165332.5,164900,165000,178900,171900,165000,159900,159000,159000,162990,165000,169900,169900,169900,169000,164500,161900,158000,153000,155000,158000,156882.5,159000,159900,164900,159990,158900,155000,159900,183990,185000,184900,189000,197500,199990,205045,209000,205990,204922,204900,204983,199990,205000,202484,209000,215000,220000,229000,222500,224109,230000,229000,230000,229500,239900,245000,250000,265000,265990,259990,259900,255000,255900,259000,264900,265000,274900,275000,269900,280000,284900,289000,289495,288990,288625.5,289999,299900,295060,295990,299900,300482.5,312500,319000,320000,320000,319328,315000,319000,318815
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,199427,199900,209900,214900,220000,224900,218999,210000,210000,209999,209000,209900,199900,204900,215000,224500,225000,225000,220000,219900,219900,218487.5,214500,2e+05,2e+05,210000,219900,225000,229900,229761,224900,220000,224000,219500,215700,209900,204000,207000,218000,224900,226000,229900,224922,219900,219900,219900,215000,201635,199999.5,205800,219900,229900,235000,235000,235000,229900,231900,235000
"Houston, TX",6,159000,159900,160000,160000,159900,159900,159000,159900,170990,169900,169900,168990,165900,165900,168700,167900,169500,169854,168500,165900,159900,159900,155000,157500,159000,159900,160618.5,164990,165000,165000,164900,164995,164900,165000,177500,180000,181950,190000,196182,199500,200990,206000,206990,206990,209900,216715,210000,213000,214900,222490,228000,236902,239900,240000,241601,247779,250000,251570,258020,269900,277620,282500,287990,294950,285990,279500,289900,294700,294000,298511.5,298990,300970,3e+05,289900,294990,294900,292647,294922.5,290000,289270,287500,289000,282900,279990,280990,285000,289900,293990,294900,293990,289900,289900,289999,289900
"Washington, DC",7,279900,284900,289900,299000,289995,285000,284500,279000,295000,294750,285000,272000,261450,269900,282100,289900,299900,299999,299900,299900,299000,295000,279000,270000,274950,279900,289900,299900,315000,319990,314990,309000,3e+05,309900,344900,335000,335000,347500,354000,369000,377900,379900,375000,369900,370000,369900,360000,359900,353990,360000,375000,384990,394900,391900,389900,385000,385000,384900,379000,369990,365000,369900,380000,389990,396000,395000,375000,384995,389000,385000,379900,376999,379900,379900,390000,409000,409990,409900,4e+05,399900,399900,399900,399900,396950,394990,399900,417000,425000,429900,429000,425000,419900,419900,419643
"Miami, FL",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255000,250000,249986,250000,249900,250000,250000,259000,252500,255000,259900,259000,265000,265000,264900,274900,280000,275000,269000,271000,285000,289536,295000,295900,302745,308000,305000,309000,3e+05,319900,322990,325000,325000,329000,330000,334000,335000,332995,330000,335000,339000,340000,345900,349000,349000,349000,349900,347500
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,182500,178000,185000,195900,2e+05,206900,214900,214900,210000,208000,200175,199900,190000,199000,2e+05,204000,209000,214900,216990,215000,219900,219900,219900,219000,219000,219734,219900,224990,229900,235000,239000,239550,235000,235000,237070,235000,232900,232225,235000,249000,256000,259900,261990,260000,259900,260000,263000
"Boston, MA",10,299000,319000,319000,319000,319000,319000,314900,309900,319000,319000,315000,299900,299900,307000,315000,324900,329900,329900,325000,319900,319900,309900,298000,279900,289000,290000,299900,315000,319900,319900,314900,3e+05,304900,309900,339900,333000,335000,342500,349900,360000,369900,374900,369900,359900,365000,369900,368000,359900,359000,375000,379900,389000,392900,393000,385900,379900,384900,389000,384900,379000,379000,379900,389900,399000,399900,399900,399900,394000,399000,399900,399900,399000,398674,403000,429000,439900,439900,439900,437500,429000,439000,439900,440000,439850,439000,449900,469999,479000,485000,485000,475000,469000,475000,479900
"San Francisco, CA",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575000,569000,560000,595000,599850,629950,649000,648500,639000,619880,620000,615000,599000,550000,561900,615000,650000,679000,699000,699000,688999,669000,675000,695000,689000,669000,649500,695000,725000,749888,750000,749000,729000,699888,724974.5,726500,699950,688800,689000,725000,749900,769000,785000,759000,747000,727800,739900,749000
"Detroit, MI",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124900,119900,117500,119900,128500,139900,149800,153500,154900,155000,150000,149900,135000,125000,130000,139900,145900,149900,155900,159900,159900,159900,159900,154000,150000,145000,143900,144000,150000,159900,169900,174900,175000,174900,170000,169999,169000,165000,159900,167000,177266.5,189900,199000,199900,199500,197500,195000,189900
"Riverside, CA",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285000,289000,289000,289925,295000,299900,3e+05,305000,3e+05,304000,299999,299900,299000,299000,304500,310000,315000,315925,320000,325000,324900,321565,324900,325000,329000,329900,330000,333000,335000,339000,339900,340000,345000,339900,339000,339000,339900,340414.5,341990,345000,349500,349900,351121,350000,350000,350000,355000,359000
"Phoenix, AZ",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224900,225000,225000,225997,231271,235000,239000,239900,236500,235500,239000,239900,235000,232900,239900,247500,250000,259000,260000,259990,254500,260000,262000,264990,267476,265951.5,268990,269000,269900,274600,274900,275000,274000,269900,270000,270000,269900,270000,272638.5,275000,279000,283577,285000,281000,280000,279900,280000,284900
"Seattle, WA",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319950,319000,3e+05,310000,320000,329900,330000,349500,349900,349900,349000,339990,319950,295000,308000,327310,340000,349990,359950,365000,360000,364000,364969,359950,354950,349950,349950,350000,369000,384950,395000,399000,398000,389950,390000,392495,389900,379900,375000,394500,414900,425000,435000,439950,439950,435000,439000,449500
"Minneapolis, MN",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219362.5,215000,209900,219900,229900,229900,239900,240000,239977,240000,244900,239900,239900,239900,239990,249472,249900,249900,255900,259000,259900,259900,259900,259900,260000,264900,265000,264900,269900,269000,269000,269500,269000,262712.5,265000,267900,272900,279900,284900,294450,290000,292500,295000,295000,294900,289900,295000,299500
"San Diego, CA",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,450000,458900,465000,475000,489000,459000,482770,499000,495000,489900,485000,485000,475000,479600,490000,522300,535000,549000,525000,555000,550000,559000,559900,564900,575000,569000,569000,569900,575000,579000,579000,585000,579000,579000,575000,574000,574900,579000,589000,595000,615000,625000,624888,625000,620000,619000,610000
"Saint Louis, MO",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149500,150000,154900,154900,150000,149900,149900,149000,145000,144900,142000,145500,149900,153000,159500,159000,157000,155000,154900,150000,149500,145000,145000,149900,150000,154900,159000,159900,158500,154900,154000,150000,149900,147900,147000,149900,157500,165000,167900,165000,164900,160000,160000,159900,159900,155000,153000,157750,164900,173000,179900,184900,184900,180000,179900,179500
"Tampa, FL",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165000,167900,165000,169900,170940,174900,174000,169000,179900,179990,179990,179900,178690,173000,179900,186500,184900,184900,189000,190000,194900,203535,208220,209000,210000,206990,207990,209000,214900,219000,218000,219000,219900,217000,219000,220000,220000,220000,225900,229900,234000,239900,245990,245990,245990,243900,249500,245000
"Baltimore, MD",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239000,237000,229900,229000,240000,237290,235000,239900,247500,250000,264841,269900,269000,265000,265000,264945,250000,252900,249900,250000,259900,269900,275000,275000,274900,269900,270000,259900,255000,249500,245000,249900,254900,259900,265000,265000,259900,259900,259997,252900,249900,249000,248527,247000,255000,269900,275000,275000,274900,269800,269700,265000,264900,255000,250000,259900,275000,289900,295990,295000,292900,289900,289000,287500
"Denver, CO",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299950,309900,310000,321990,329000,335000,339000,347925,345000,349000,350000,359000,359900,375000,383950,382997.5,384900,392950,391188,389900,391900,389900,395000,395000,395000,399950,414900,415000,420000,422495,420000,419500,415000,410000,414900,409900,405000,409999.5,414900,425000,437500,444997.5,435000,435000,436000,435950,439000,432900
"Pittsburgh, PA",22,123500,129900,130000,130000,134900,134900,130000,129900,135000,131000,129900,129900,126900,129900,129900,130000,131900,132900,132000,130000,130000,129900,129900,129750,125000,126900,126900,129900,131900,132900,128500,125000,124900,123500,138600,136900,139000,144900,145000,149900,149900,149900,149900,147500,146945,140000,139900,139900,139900,142000,145000,153000,159000,157500,153900,149900,149900,157900,149500,144900,149900,149900,154205,159000,160000,164900,159900,158999.5,158900,155000,154650,149910.5,149900,145000,150000,155000,159900,160000,159900,157500,157900,154900,150000,149900,149900,149900,155000,163700,169000,169900,169900,169900,169000,168900
"Portland, OR",23,243850,239900,239900,239000,230000,234900,234900,230816.5,239000,215000,2e+05,199500,189900,195000,203619,199900,199900,199950,205000,209900,209000,199900,194000,186500,189900,195000,199900,209000,202900,209900,214900,224995,227500,238998.5,249900,249900,249900,252990,259900,269900,279000,285000,289000,287500,285000,284900,279900,278000,277950,280320,289500,295000,294900,299900,3e+05,3e+05,299900,297000,294900,289900,295000,299999,309000,315000,320000,324995,325000,325000,329000,329900,330000,329900,329900,334900,340000,349999,359900,364950,369000,369000,369950,369963,375000,375000,380000,389000,396230.5,399999,409000,414900,412900,410000,409900,409900
"Charlotte, NC",24,175000,177900,175000,175000,174500,174500,169900,169900,175000,162500,151000,149500,147000,149000,149999,154000,159000,162500,161000,159900,154900,150000,147500,144900,150000,155000,155995,150000,149900,149900,149900,148762.5,143070,144500,169900,169990,174900,181990,187500,193900,196989.5,198470,197990,195000,195000,199000,192000,193990,189900,192000,202900,209990,215000,215000,214900,212000,210000,205999,210000,209900,214900,220000,220945,229000,234990,237990,239900,238500,234900,239900,240000,235000,249900,250000,260000,260000,265000,269900,274900,266945,268500,269500,268000,274000,266990,269000,274900,285000,289000,289000,284900,280000,285000,288990
"Sacramento, CA",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315063.5,325000,327500,339000,349900,354900,359999,362745,365000,359900,359900,350000,345500,299000,349000,359000,365000,370000,375000,379000,379000,379000,376990,379900,380000,380000,385000,389000,398000,399900,399999,404950,399950,399900,399000,399000,399000,399000,399000,4e+05,419900,425000,420000,419900,418939,417000,416990,415000
"San Antonio, TX",26,159900,162500,162500,163881,164900,167085.5,165000,164436.5,169150,169000,160900,159900,159900,159900,161497.5,164900,168000,169500,168500,165000,159900,159500,154900,152900,154982.5,154900,156000,157900,159490,164000,160990,162000,162000,165000,178990,179150,179900,186900,189900,193894,195234.5,199900,199900,199900,200500,206992.5,205000,210000,210000,217500,220000,224900,230000,225500,225000,234900,229999,228495,226995,237900,239990,245000,243638,249900,249995,255058,259900,259900,260990,258000,259000,260000,260510,250000,255900,258995,259000,259000,259000,259000,254000,259990,259000,252900,254900,259900,269000,271495,270489.5,275000,275000,274900,274900,266000
"Orlando, FL",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,195000,195000,199900,2e+05,2e+05,199000,192690,210000,214900,214900,214000,212450,209900,210000,215990,217000,214900,219000,222500,224900,238000,238000,239000,239988.5,239900,239999,239900,247625,249900,245000,245000,249900,247900,249900,249500,245900,248900,255000,259800,263000,269900,273000,272140,274990,275000,279900,275000
"Cincinnati, OH",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,139837.5,139000,144500,142900,148900,148375,149900,145000,144900,145000,144900,140000,142900,145000,149900,159900,164900,174000,169900,169000,169900,169300,164900,162900,166450,169900,169900,172000,175000,174994.5,175000,174900,179900,175000,174900,169900,175000,169900,168000,177200,180000,180000,185000,179900,179900,179000,176500,174900,174900,176000,185000,189900,199000,199900,198000,199900,198000,199000
"Cleveland, OH",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124500,120000,121900,125000,129900,132000,134900,137625,135000,134000,129900,129900,125000,120000,124900,129900,133000,134900,135000,135000,136500,134900,132900,129900,129900,125804,127500,129900,136900,140000,144900,146000,145000,140000,139900,139900,137000,134900,134900,136900,144000,149900,155000,159900,159000,158000,158900,154900
"Kansas City, MO",30,149900,150000,154950,154900,150000,150000,149900,149900,150900,149950,146900,141925,137700,139000,141900,145000,149900,149900,148000,145000,142500,139900,132600,129000,129500,129900,134500,135000,133500,127000,120000,118900,115000,115000,134000,129950,129900,135000,140000,148000,149900,149999,149900,148000,145000,143000,139500,136900,134500,135900,145000,150000,155000,158500,155000,154950,152000,150000,149900,145000,145000,149950,169500,174900,175000,175000,174900,170000,170000,170000,170000,166301,170000,175000,185000,195000,199900,199900,199000,195000,193000,194900,194900,190000,190000,199950,215000,224694,225000,228500,225000,224900,225000,225000
"Las Vegas, NV",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,180000,179990,175900,179000,180000,185000,189900,191048,191000,199990,204000,204520,199900,199900,2e+05,209900,213100,215000,220000,220940,224900,225000,225888,225500,228925,229000,227900,224900,229900,234800,238894,240000,243000,245000,249000,249888,249900,249989,253900,259000,260000,265000,269900,274990,279000,279900,283999,285000
"Columbus, OH",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136000,139000,141950,147900,150000,153900,153900,152900,152500,152900,149900,149900,145900,149500,157000,159900,165500,169900,169900,169900,168000,167900,164797,159900,162900,169500,171900,176900,185000,187900,189000,185000,185900,184900,184900,178000,179900,185000,189000,195000,199900,199999,199967.5,199900,199800,195000,196195,190990,191900,195000,215000,224900,229900,229900,229900,229900,228990,236990
"Indianapolis, IN",33,129900,129900,130000,129900,129900,129999,129900,129900,134900,134900,134900,129900,129900,130000,134500,134900,135000,138656,138900,134900,133000,134500,127900,124900,125900,127500,129900,129900,130000,130000,130000,129900,129000,127999.5,132900,130200,130000,135000,139900,144900,145000,149000,147900,144900,144900,145000,142000,139900,139900,144900,149900,154000,159000,161200,159900,159900,155900,155000,154900,149900,150000,154900,157500,159900,164900,164900,164000,159900,162900,158500,159900,150250,155900,153500,154900,159900,164900,165000,169500,165000,165074,165000,164900,160900,162000,164900,174225,185000,194900,195000,198000,198700,199999,2e+05
"San Jose, CA",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649999,649948,649000,675000,699000,699999,725000,719995,702134.5,699950,699950,699000,679558,650000,679000,734999,769000,799000,801094,829444,825000,808888,807884,808888,799000,798000,798400,819999.5,874999,877063,879000,879987.5,875000,859000,859250,850000,839975,812453,799950,837000,888000,895000,899000,898000,899000,899950,919000,939990
"Austin, TX",35,204402,203450,200595,204900,205000,206333,2e+05,204900,214900,210900,211105,204900,199000,199000,199995,205451.5,209000,2e+05,2e+05,199043.5,190000,189900,189000,184759,184950,185983.5,191990,197500,197000,199900,199000,196900,195000,197600.5,221095,225000,226555,235000,238500,240000,244900,249000,249900,249000,250000,258990,259820,260236,266262.5,271997.5,278550,289900,296990,299000,294891.5,299000,295159,292925,287000,299900,299900,309990,314500,319650,321000,325000,323990,325000,325000,330990,329900,339900,334500,326375,330000,329000,329900,336990,334000,330000,329900,334900,329900,325000,325000,330000,336777.5,344990,345000,345000,342489,339500,335900,335000
"Virginia Beach, VA",36,239000,238000,239000,235000,234900,229999,229900,229000,229900,224900,219778.5,214900,210000,214600,214900,214900,219000,219000,217000,217000,215000,212900,205900,199900,199900,201995,209000,207900,209900,209900,205000,2e+05,195000,199900,215000,219900,219900,221900,224000,237900,229900,234000,234000,229900,233822.5,229900,225000,226990,229000,229900,236950,239900,243000,242000,242700,239945,239000,235000,233540,230000,234900,240000,240000,245000,245900,249500,245000,245000,244900,242000,240000,239900,245000,246000,246500,249900,250000,250000,250000,249900,249900,248000,244900,244900,245000,249000,249900,259900,260000,260000,259900,259000,259900,259900
"Nashville, TN",37,176000,179000,174900,174900,173900,169900,169900,169900,179900,178900,174900,169900,164900,161500,164900,169000,169900,169900,169000,168000,162000,159900,158000,152900,150000,154500,154900,159900,159900,159900,159900,157900,157982.5,159900,179900,179900,179900,189000,189900,195000,199900,199990,202990,199900,204900,205850.5,199900,204900,204900,209900,219900,224900,229900,229000,228000,225000,229000,232000,230000,239000,239900,249900,261900,264900,259900,264900,261990,262332,269900,269900,275000,277990,289900,286990,284990,290000,299900,299900,298000,296995,295000,296990,299000,299000,293900,299900,312000,325000,335000,334900,329900,329900,329000,329900
"Providence, RI",38,264900,268900,259900,259900,259900,259000,259000,259900,259900,255000,249900,249000,239999,239900,239900,238900,239000,239166.5,237000,237000,233950,229900,219900,216600,219000,219000,220000,229000,229943.5,235000,229999,234900,236000,239000,244900,239900,239900,243500,245000,250000,255000,259900,259000,259000,259900,255000,249900,250000,249900,257000,255000,260000,269900,269000,269900,268000,265000,259900,259900,254900,252900,256300,258600,260000,269900,274900,277900,275000,269900,269900,269900,269000,265000,264999,269900,275000,280000,285000,289000,280000,280000,279900,279000,274900,269900,276000,285000,299000,299999,305000,299900,299900,299900,299000
"Milwaukee, WI",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,173900,164900,167900,172500,179900,189900,194900,193950,194900,190000,189900,182500,179000,178000,180550,184900,189900,205950,201000,204900,199900,199900,199500,194900,189900,189000,189000,196500,209900,214900,220000,230000,229900,225000,224900,219900,217000,215000,219900,219900,220000,228500,230000,225000,223900,219900,214900
"Jacksonville, FL",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190990,191950,190990,198990,199900,205900,211990,212900,210000,211990,212900,209900,207990,203990,207800,210000,211990,218500,219550,220000,219900,224000,225000,220000,222990,222990,225000,224990,232000,239000,239900,240000,235000,234000,232000,230000,229000,228700,230000,239000,245000,250000,255000,255000,255000,253000,259000,259900
"Memphis, TN",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,149900,149900,144000,147500,150000,149900,154900,154900,154900,149900,149000,135000,135900,139900,144200,148000,149900,156900,159900,159900,154900,149900,149900,147900,142900,141950,140000,144900,154900,159000,160000,169000,165000,164900,164900,159900,154900,149000,149900,159000,165000,169900,174900,179000,178250,179900,179900
"Oklahoma City, OK",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154788.5,154900,157000,155000,159000,159900,160000,160950,160000,163500,165000,167500,169000,168500,169900,169900,174900,175000,174900,174943,175000,173000,170000,174564,171340,179990,182248.5,184900,189981.5,194900,195000,195000,195000,195000,195000,197952,199365,199900,199900,198500,199000,199500,199900,199900,199000,199500,197500,199900,206500,205000,205000,201990,205994.5,209000,207851,209900,205000,211500,209788.5
"Louisville, KY",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,139900,139900,143500,147945,149900,155000,155000,155000,155000,154900,155000,154900,154500,150000,159000,159900,164900,169900,169000,167900,167500,168900,169000,169000,167000,163999.5,163999,167500,175000,179000,179900,179900,179000,179000,175950,177900,174900,172000,179500,185000,199000,2e+05,199900,199995,199900,199900,199500
"Hartford, CT",44,216900,244900,248000,249000,249000,249000,247900,247900,247949.5,246450,240000,239900,235900,239900,239900,245000,249900,249900,245000,239900,236900,229900,229900,229900,229000,229900,234500,234900,239900,239900,239000,234900,234900,229900,229900,229800,229900,229900,235000,244900,247500,245000,244250,239900,239000,235000,229900,230000,229900,229900,234900,240000,245000,249900,249000,242000,239900,239900,239000,234900,238900,239775,239900,249000,249900,249900,249900,249000,249900,249000,244900,239900,239900,239900,244900,249900,254900,249999,249900,249900,249900,245000,244900,238700,239000,239900,249000,254900,259900,259900,259900,255000,255000,254900
"Richmond, VA",45,215000,214950,212425,210000,214900,214000,209950,205000,208000,199950,199900,191700,189000,185000,190000,189950,195000,193000,189992.5,189950,189000,184500,179000,169950,169950,169950,174900,175000,176000,179500,179000,175000,174900,179990,198000,198000,198000,199500,199990,209990,214990,219000,215000,213800,210000,209900,199950,199950,199950,209900,212000,219000,219900,223500,224950,221000,219950,219950,219950,214900,218700,222000,225990,234950,235500,239950,239000,239900,239950,239950,239950,245000,245825,239900,249950,258990,259997.5,263000,259900,256950,260000,257880,259500,262900,262810,268990,271882.5,279950,285990,285000,285000,285000,288990,285900
"New Orleans, LA",46,179000,176500,178000,175000,175000,173250,170000,170000,174900,169000,169500,166900,159900,159000,164900,166000,169000,159900,159000,157900,150000,139900,139900,139000,139900,139900,139999,139900,139000,139900,139900,139000,145000,149000,169900,169600,168900,169900,174580,179900,179000,179900,175000,174900,172900,172500,170000,172600,169000,169900,170000,177000,179900,180000,179900,179949.5,179652.5,179000,179000,177700,180000,184900,189000,189900,195000,195000,194900,194000,191900,189900,189999.5,195000,195000,199999,210000,224005,225000,229900,227900,225000,229000,229900,229000,229900,230000,219999.5,225000,230000,239900,241450,240000,239000,239000,240000
"Buffalo, NY",47,129900,130000,134900,131900,134900,132900,129900,129900,130000,129900,129900,129900,129900,129900,129900,129900,132500,135000,135000,134900,134900,135900,135000,124900,136900,134900,137650,139983.5,142900,139900,137900,139788.5,134999,130000,140000,139900,139900,139900,139900,144900,143900,144900,142000,139900,139900,139900,134999,134700,130000,135000,139900,139900,144900,149900,149900,145000,144900,142900,139900,135000,139900,139999,144900,147700,149900,149900,149900,149000,149900,145000,142900,139900,139900,139900,139900,144900,149999,154900,149900,149900,149900,144900,144900,144900,144000,143504,149900,155000,159561,159900,159900,159900,159900,159900
"Raleigh, NC",48,217000,217000,214900,214900,214900,212304,209900,209900,215000,209900,207900,204900,199900,196000,195000,199500,2e+05,205000,205000,199999,199000,194999,185900,183275,199900,199900,205000,199900,199900,199900,198000,198000,194900,196900,212000,212000,215000,219900,225000,229900,231221.5,238000,235000,235000,236450,239500,234900,236990,239900,242900,245000,242900,247500,247900,245000,247500,249500,249900,249900,245900,249000,250000,254900,260000,269900,274700,274900,275000,269999,274900,274900,272000,275000,275000,279900,281999,284900,280945,284900,289600,288000,289000,289900,294500,289900,299480.5,3e+05,309900,316525.5,314900,313990,315000,317711,320000
"Birmingham, AL",49,159900,165000,159900,160000,159900,159900,159900,159900,159900,157500,149900,147950,142700,144900,149900,150000,154900,154900,153150,149900,149900,148550,142900,139900,140000,142900,142900,129900,132000,145600,144900,144900,139900,139900,149900,149900,149900,157950,159900,164900,168000,169500,169000,165000,165000,164900,159900,164900,160000,169000,171950,175900,179900,179900,179900,179665,175000,174900,174900,165900,169900,174900,179900,184200,185000,184900,179900,179900,179900,176000,174900,178000,174900,173000,179900,185000,185900,189000,189900,185000,184900,181900,182000,180000,179900,189900,199000,205000,205950,205000,2e+05,199900,204750,199900
"Salt Lake City, UT",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249900,249900,257700,253945,246000,247700,249900,259900,264900,269000,268000,269000,269000,267100,259131,258000,269000,272700,278463,289900,294900,299900,299900,304900,3e+05,299900,299900,299000,299900,299950,310000,313950,325000,329900,329900,328000,319900,319000,319900,321000,319000,325000,330000,344186,344999.5,349000,345000,348850,348000,349000
"Rochester, NY",51,124900,126900,127200,124900,124900,120000,114900,114900,119000,117500,115000,109900,109900,119900,124900,124900,129900,129900,125500,114900,112900,109900,101900,99000,104900,109900,119900,124900,127900,129900,125000,124900,127000,119900,139800,139000,134900,139900,139900,148900,144900,144900,139900,139900,139900,139900,139900,139500,135000,134900,139500,143450,144900,145000,144900,139900,139900,139900,139000,129900,129900,130000,134900,134900,139900,139900,139900,137900,134900,129900,129900,129900,126500,126900,134900,139900,149000,149900,143900,139900,139900,139850,135000,134900,133624.5,132500,138000,140000,148500,149900,149900,149900,146900,144900
"Grand Rapids, MI",52,119900,119900,119900,119900,117900,115000,114999,115900,129700,125000,119900,119500,115000,115000,119000,119900,124900,128050,127900,127900,126900,125000,119900,114900,115000,115000,119900,122000,120000,122750,123500,120000,119900,119900,129900,129900,134900,135000,135900,139900,139900,144900,145000,144900,142500,139900,139000,134900,135000,139900,144900,149900,155000,155000,154900,154900,154900,149900,144900,140000,144900,149900,155000,159900,164900,169900,169900,169900,169900,167900,165388.5,164900,168000,169900,179900,189250,193950,194700,194900,194250,196900,194900,192150,197900,199900,209900,213900,219900,219900,221950,224900,224900,224900,224900
"Tucson, AZ",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189000,189900,189000,189000,189900,192900,195000,195000,195000,195000,196950,196187,191396,191000,192000,199000,199900,197950,199900,199500,194900,195987.5,197000,196950,195000,193385,195000,195000,199000,199848.5,2e+05,2e+05,2e+05,199967.5,2e+05,205000,209000,209000,210000,215000,217500,219000,220000,219000,219900,225000,225000,225000
