"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"Springfield, IL",202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114900,117900,116900,119900,133500,135000,131950,134900,134950,132700,129900,132749.5,134000,132000,127500,129900,132900,139900,145000,149900,146500,148500,144900,144950,143250,140950,139900,142000,145000,150000,149900,149500,145000,139900,142000,145000,139900,135000,135900,139250,143900,149900,159900,164500,155000,149900,149900,144900
"Tyler, TX",203,189900,188000,185000,184900,188900,188000,184900,179921,187000,185000,180000,179500,179500,179500,182950,187500,189900,189900,189900,189000,187250,183550,179900,179900,179900,179000,177000,174900,178500,178250,174500,169250,169900,169900,169900,169900,169000,169500,169900,174500,174900,175000,175000,174500,178888.5,174900,169990,174000,175000,189000,189900,194900,195000,189900,190000,189500,189900,184900,182500,180950,186500,189000,189500,194950,199900,199700,199900,199000,199900,205000,205200,197750,199700,2e+05,213750,215000,220000,224500,224000,226997.5,225000,229000,221250,220000,219000,219700,219950,234500,233700,234900,234900,235000,249900,247500
"Las Cruces, NM",204,210000,209000,199999,199900,200135.5,199900,200750,199900,199500,199900,199000,195000,186500,178950,175500,177245,179950,179250,175000,169900,169000,161000,159900,153750,150000,154900,155000,154900,149900,149990,149900,149990,149900,152000,167000,169000,169945,178990,180000,182900,189000,184369.5,179970,179900,175000,175000,175000,175000,177000,177900,179000,179900,179900,178982.5,179900,180000,180000,179900,179000,177945,179900,179900,179000,184900,186945,189000,187000,184945,184275,185000,186000,182365,184900,185000,184470.5,184900,184325,186900,189000,189000,189500,194500,193975,195000,194725,199000,199000,199999,196995,199000,199900,199900,202800,202494.5
"Fargo, ND",205,157400,154900,156600,155250,159000,160000,159000,159900,159900,159000,154900,154900,154850,149900,149963,154900,159600,156900,154900,154900,154710.5,149900,149900,149900,148000,149900,149700,149900,150000,155000,154900,159900,155900,154900,155000,153900,154900,154900,155900,159999,165000,163900,167400,165900,164900,169900,169950,169900,178750,187900,189000,186350,2e+05,2e+05,194900,199594,199900,212450,215000,224900,214900,215900,215000,219000,232950,238500,230000,234900,235000,239000,239900,239990,245150,244963.5,247331,244990,253780.5,252450,253993,250000,249800,244905,244927,249900,249900,249900,255000,255727.5,255000,250900,249949.5,249000,243625,247900
"Houma, LA",206,165000,159900,160500,161000,165000,168950,165900,165000,167250,165000,165000,159000,158105,159900,159900,159250,159500,159000,155000,150000,154500,155750,158700,155900,156500,160000,162650,160000,158900,156500,158000,159900,159000,159900,163300,160000,164000,164600,165000,168000,167000,168000,169900,169000,169500,169900,165700,165500,164900,165000,167000,168500,168250,169000,169900,167000,167750,175000,175000,175000,175900,178250,179000,178500,175700,175000,175000,168000,164900,169000,165000,164900,175000,180000,188000,185000,180000,183000,185000,180000,181999.5,185000,179000,177500,175000,175000,175700,179475,179900,179800,179900,178500,175000,175000
"Rochester, MN",207,160000,164900,159900,159900,160000,159900,155000,154900,155000,154900,154900,149900,144900,149000,149900,149500,149900,149250,149000,145000,148400,145000,139900,138500,139900,147250,149900,145900,144950,147900,144900,148950,150000,154400,157200,149500,149500,149900,153000,149900,153000,156900,157445.5,156450,154900,156450,154900,149900,149900,159900,164900,165000,171900,169900,169900,169900,169900,174900,175000,174900,174777,179900,188400,189900,189949.5,191900,190000,194900,199900,199994.5,199999,199900,199900,202850,211950,217600,205000,2e+05,199900,199900,204900,205000,208750,199900,180000,2e+05,219900,224900,219900,220000,224900,229900,229900,229900
"Florence, SC",208,,,,,,,,,,,,,,,,139900,139900,144000,139000,134900,129900,129900,124900,116900,119900,116900,115000,115450,114900,119900,115000,118900,114900,114900,134900,134000,134900,130000,132000,134900,134900,136900,135000,135200,135000,136900,134900,135000,133050,134100,135000,139900,139000,139250,139900,139900,139900,139500,139900,139900,139900,139900,144900,144900,149900,149900,155500,149900,149900,149900,149900,149900,146900,148000,146000,149900,149925,152900,154442.5,149900,149319,145000,145000,145000,148000,154500,158000,158700,160000,169900,169900,165000,162000,159900
"Medford, OR",209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279000,285000,285000,279900,275000,275250,281900,292200,289900,310000,299900,299000,299000,289000,285000,285000,279000,269900,289900,299000,3e+05,299900,299000,299500,305000,319900,302000,297500,289900,289200,309900,319950,324900,325000,334900,326500,320000,320000,325000,319900,312450,319000,324900,339000,339900,349000,345450,329900,339900,335000
"West Lafayette, IN",210,115000,119000,119900,119900,120000,121900,119900,119900,124900,119500,116900,114900,110000,109900,114900,116900,119900,119900,119900,119000,115450,114900,110000,103700,102500,109000,115000,119900,120000,120000,119900,119000,114900,110000,123000,121500,119000,122000,124250,125000,129900,129900,128900,125900,127700,124900,124900,123000,124900,129000,129950,134900,135000,136000,134900,135000,132750,129900,130000,126500,125900,129950,137700,144900,149700,148000,148700,145000,139900,145000,148500,143950,139900,142500,149950,155750,157500,157500,159900,154950,154900,149900,149900,149000,154900,159000,170000,177000,176500,177000,169900,169900,169900,169900
"Bellingham, WA",211,269900,269900,265900,259950,259950,264900,265000,269500,269500,259900,250000,250000,248500,242575,249900,249900,250000,255000,249900,249000,249000,245000,239000,235000,234950,235000,239900,245000,249959,250000,250000,250000,250000,250000,252500,254900,250000,249900,257885,259900,267900,269950,289000,279000,279900,275000,269000,268847.5,261000,264000,269900,275000,280950,289000,289900,289900,289900,295000,289500,279000,275000,285000,289900,299500,299900,307900,310000,315000,322500,325000,329000,329950,325000,319900,325000,329700,330000,335000,339000,339000,339000,339900,349000,349000,344900,350000,359000,350500,361000,374500,385000,389900,385000,389000
